구분,유통사,사업자명,사업자등록번호,7월 상품명,7월 판매건수,7월 매출액,7월 판촉액(쿠폰),8월 누적데이터 상태,원인 분석
농산물,네이버,온드리 목장,519-33-01006,온드리목장 500g 무지방 무가당 그릭요거트 [원산지:국산(전라남도 화순군)],133,1604300,65960,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,로토정,701-93-02082,GAP 토마토 2.5kg 유럽종 완숙토마토 [원산지:국산(경상북도 봉화군)],144,1586600,30050,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,현풍떡갈비,671-67-00557,"아기떡갈비 한우 한돈 수제 패티 현풍 세가지맛 3팩, 90g, 15개 [원산지:상세설명에 표시]",46,1556900,81520,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,영농조합법인아농이,308-81-31629,경북 김천 산지직송 당일수확 햇 자두 1kg 가정용 [원산지:국산 등],45,1330700,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,예다움곶감,540-96-00855,예다움 상주곶감 반건시 명절 상견례 선물세트 곶감단지 크림치즈호두말이 [원산지:상세설명에 표시],19,1178600,68560,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,2kg 백미/25년 고시히카리 햅쌀/당일도정 특등급 선물용 정미소직판 [원산지:국산(인천광역시 강화군)],55,1014100,27680,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,맑은농장,577-94-01721,프리미엄 맑은농장 김천자두 5kg(왕왕특고당도) 후무사자두,13,830500,80000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 유한회사 해오름팜농장,209-87-01228,농부가바로팜 무항생제 동물복지 유정란 60구 신선계란 난각번호2번 [원산지:국산(전라남도 나주시)],20,722300,17800,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,(주)한마당,670-81-01262,[오동리 콩국수]파주장단콩과 자가생면 걸쭉하고 크리미한 콩국물(680g 콩국물 실온보관) [원산지:국산(경기도 파주시)],35,687000,9000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 유한회사 해오름팜농장,209-87-01228,농부가바로팜 무항생제 Non-Gmo 동물복지 유정란 40구 신선계란 난각번호2번 [원산지:국산(전라남도 나주시)],21,641000,36550,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,현미 5Kg / 25년 고시히카리 햅쌀 랑이네 갓도정쌀 강화섬쌀 지퍼백 당일도정 [원산지:국산(인천광역시 강화군)],15,551000,12560,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,제주점순이네,372-94-01830,[제주점순이네]제주 마늘 햇마늘 대사이즈 반접 한접 1kg 2.5kg 4.5kg 9kg [원산지:국산(제주특별자치도 서귀포시)],10,514000,17600,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,소유농장,208-22-52837,"국산 무농약 상황버섯진액 GAP인증 버섯즙 부모님선물 효도선물 45포, 1개 [원산지:국산(전라남도 고흥군)]",8,480000,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,(주)한마당,670-81-01262,[오동리팥죽] 국내산팥과 찹쌀로 만든 달지 않은 동지새알팥죽(680g 팥물상온보관) [원산지:국산],17,477000,9000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,(주)한마당,670-81-01262,"[오동리 콩국물] 파주장단콩 걸쭉한 콩국수용 콩국물 300g, 500g (국산콩 100%) [원산지:국산(경기도 파주시)]",27,461800,10000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,2kg 7분도 현미/25년 고시히카리 햅쌀/당일도정 특등급 선물용 정미소직판 [원산지:국산(인천광역시 강화군)],13,396100,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,감익는마을 천연식초,615-19-39008,감익는마을 7년숙성 천연 감식초 500ml x2 항아리발효 자연침전 무설탕 무첨가 [원산지:국산(경상남도 밀양시) 등],13,392200,13000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,짱아찌네농장,280-90-00306,"당일수확 농장직송 생바질 스위트 식용허브 1kg, 1개 [원산지:국산(경기도 양평군)]",9,390000,66000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,주식회사 강평농업회사법인,642-81-00628,고당도 스테비아 방울토마토 단마토 1kg 2kg 산지직송 스테비아토마토[비오채] [원산지:국산(충청남도 부여군)],23,383400,26080,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,옛가마니 선물용 쌀 2.5kg 25년 고시히카리 햅쌀 /당일도정 특등급/ 소포장 [원산지:국산(인천광역시 강화군)],12,362500,8020,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,제이제이,448-93-01936,청도 복숭아 왕특대과 특대과 특판전! (물복 딱복 부드러운 말랭이 말랑이 말랭 말랑 딱딱이 아삭이 털 복숭아) 4kg [원산지:국산(경상북도 청도군)],13,362300,12540,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
